antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'able'}),frozenset({'around'}),0.1921699078812692,0.4969293756397134,0.13485158648925283,0.7017310252996006,1.4121343186770543,1.0,0.03935671414907249,1.6866341022079256,0.36127902273133,0.2433056325023084,0.40710317745210545,0.48655037361787445
frozenset({'able'}),frozenset({'even'}),0.1921699078812692,0.45445240532241554,0.1379222108495394,0.7177097203728362,1.5792846774870744,1.0,0.05059013398230959,1.9325766207682356,0.4540582726020981,0.27112676056338025,0.48255609156521756,0.5106003556819136
frozenset({'actually'}),frozenset({'around'}),0.1617195496417605,0.4969293756397134,0.1312691914022518,0.8117088607594937,1.6334491389537082,1.0,0.05090599657003611,2.671770038619337,0.46261189536043335,0.24890829694323144,0.6257162908688206,0.5379347599369044
frozenset({'actually'}),frozenset({'back'}),0.1617195496417605,0.406345957011259,0.11821903787103377,0.731012658227848,1.7989908490896913,1.0,0.052504952704422805,2.206996206875789,0.5298141012426726,0.26279863481228666,0.5468954604975991,0.5109723240761406
frozenset({'actually'}),frozenset({'day'}),0.1617195496417605,0.5255885363357216,0.1202661207778915,0.7436708860759493,1.4149298066138316,1.0,0.035268179384806544,1.8507904014557033,0.34982464344166475,0.21209386281588447,0.4596903035516775,0.4862463485881207
frozenset({'actually'}),frozenset({'even'}),0.1617195496417605,0.45445240532241554,0.1269191402251791,0.7848101265822784,1.7269357965560497,1.0,0.05342530190282327,2.535191763501716,0.5021465989207925,0.2594142259414226,0.6055525209585103,0.5320447029307789
frozenset({'actually'}),frozenset({'take'}),0.1617195496417605,0.4728761514841351,0.11617195496417605,0.7183544303797469,1.519117485889638,1.0,0.03969863670983281,1.871585799224869,0.4076476631542711,0.22408687068114513,0.4656937446233257,0.4820127130253713
frozenset({'actually'}),frozenset({'way'}),0.1617195496417605,0.40736949846468784,0.11591606960081884,0.7167721518987342,1.7595135487564404,1.0,0.05003645777131968,2.0924160724598733,0.5149363758635283,0.25578769057029926,0.5220835792833564,0.5006599452961008
frozenset({'actually'}),frozenset({'well'}),0.1617195496417605,0.4936028659160696,0.12359263050153531,0.7642405063291139,1.548290253361419,1.0,0.04376739732370624,2.147939521751973,0.4224436708908758,0.23243503368623677,0.534437543574622,0.5073146544087249
frozenset({'along'}),frozenset({'around'}),0.31525076765609006,0.4969293756397134,0.2259467758444217,0.7167207792207793,1.4422990757954715,1.0,0.06928940870314049,1.7758825478850233,0.4478464671498001,0.38542121344391095,0.43689969745412277,0.5857033350274854
frozenset({'along'}),frozenset({'day'}),0.31525076765609006,0.5255885363357216,0.22492323439099285,0.7134740259740261,1.357476384375119,1.0,0.05923104483991584,1.6557363264430347,0.38457718803301094,0.3651848774407977,0.39603910113618884,0.570709749111648
frozenset({'always'}),frozenset({'around'}),0.2018935516888434,0.4969293756397134,0.14534288638689866,0.7198986058301646,1.448694001845666,1.0,0.04501604980047749,1.796030419096226,0.3880724229958138,0.2625982431807674,0.4432165572656579,0.506190291586555
frozenset({'always'}),frozenset({'even'}),0.2018935516888434,0.45445240532241554,0.14969293756397134,0.7414448669201521,1.631512691398623,1.0,0.057941927379891026,2.1099855500030107,0.48498779194515007,0.29545454545454547,0.5260631050299973,0.535418379406022
frozenset({'area'}),frozenset({'around'}),0.30680655066530194,0.4969293756397134,0.23439099283520984,0.7639699749791493,1.5373813914616454,1.0,0.08192980517092724,2.131384023349766,0.504250750772534,0.411685393258427,0.5308212930918187,0.6178243283752596
frozenset({'area'}),frozenset({'day'}),0.30680655066530194,0.5255885363357216,0.22543500511770725,0.7347789824854045,1.3980118128300687,1.0,0.0641809992153198,1.7887400784071381,0.41070564381812175,0.3714165261382799,0.44094728346977397,0.5818490822845718
frozenset({'area'}),frozenset({'well'}),0.30680655066530194,0.4936028659160696,0.2164790174002047,0.7055879899916597,1.429464937733233,1.0,0.06503842470998786,1.7200287925400355,0.43341082653304325,0.37072743207712533,0.4186143834701396,0.5720785984172918
